exhibit_id,title,category,subcategory,room,location_type,location,asset_number,manufacturer,era,exhibit_desc
221,Evolution of the Bell VTOL flight Development,Poster,,Main room,Back of display case,Wall,,,,
222,Falcon 10 'French Navy plastic model airplane kit,Model Airplane Kit,,Front Desk,,,1651,Hasewaga,,
223,First Blind Flight of Jimmy Doolittle,Painting,,Fleet & Consolidated Ro,,Wall,1840,,1929,
224,First Launch of Space Shuttle Columbia,Photograph,,Curtiss Room,Main Floor,Wall,750,,,
225,first operational helicopter at Gardenville,Photograph,,Main room,,Wall,1831,,,
226,First Supersonic flight,,,X-1 display,,Wall,1855,,,
227,First supersonic flight 50th anniversary X-1 poster,Poster,,Main room,Back of display case,Wall,,,,
228,Fleet Blimp Model,Model,,Fleet & Consolidated Ro,,Ceiling,,,,
229,Fleet Cockpit Display,Display,,Fleet & Consolidated Ro,,Floo,,,,
230,Fleet Fawn,Poster,,Fleet & Consolidated Ro,,Wall,1841,,,
231,Fleet model,Model,,Wall on top of Ladies room,,Wall,,,,
232,Fleet Model 1,Airplane,,Fleet & Consolidated Ro,,Floo,,,,
233,Fleet N2Y1 information poster,Display Board,,Fleet & Consolidated Ro,,Floo,,,,
234,Fleet of Canada,Display Board,,Fleet & Consolidated Ro,,Floo,,,,
235,Fleet of the buffalo aeronautical corporation photo,Photograph,,Wall outside ladies room,,Wall,1822,,,
236,Fleet Wing Construction ,Display,,Fleet & Consolidated Ro,,Floo,,,,
237,"Fleet, Bell and Buffalo",Display Board,,Fleet & Consolidated Ro,,Floo,,,,
238,"Fleet, Bell And Consolidated",Display Board,,Fleet & Consolidated Ro,,Floo,,,,
239,Flight Demonstrator exhibit,Exhibit,,Curtiss Room,Main Floor,Floo,,,,
240,Flight Simulator,Simulator,,Theater Room,,Floo,,,,
241,Floyd Carlson Display Case,display case,,Main room,,Floo,,,,
242,Floyd Carlson Statue,Statue,,Main room,On Display Case,,,,,
243,Folding table under Allison J35 Turbojet engine cutaway,Furniture,,Main room,,Floo,,,,
244,formation of the Aero Club of Buffalo 1910,Photo,,Curtiss Room,,Wall,,,,
245,Franklin 4AC-150,Engine,,Fleet & Consolidated Ro,,Floo,,Franklin,1935,
246,Ft Worth to Niagara falls Plaque,Plaqu,,Main room,,Floo,,,1952,
247,GAM-63 Rascal Rocket Engine,Engine,,Curtiss Room,Main Floor,Floo,,Bell,,
248,Gardenville development facility (union garage),Photograph,,Main room,,Wall,1829,,,
249,Gardenville organization photo of people that invented the helicopter,Photograph,,Main room,,Wall,,,,
250,Gates Flying Circus,Photo,,Curtiss Room,,Wall,,,,
251,GE I-16 Jet Engine display,Engine,,Main room,,Floo,,GE,1942,
252,General Chuck Yeager,Photograph,,X-1 display,,Wall,1854,,,
253,Glenn Curtiss Partners Desk plus 11 photo frames,Display,,Curtiss Room,Display,Floo,,Curtiss,,
254,Glenn Hammond Curtiss Biography,Photograph,,Curtiss Room,Hallway,Wall,1818,Curtiss,,
255,Glenn Hammond Curtiss Portrait,Portrait,,Curtiss Room,Hallway,Wall,1817,Curtiss,,
256,Globe of the Moon,Model,,Curtiss Room,Main Floor,Wall,,,,
257,Grover and Larry Bell display board,Display Board,,Main room,,Floo,,,,
258,Gwinn Aircar,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Gwinn brothers,,
259,Gwinn Aircar Advertisement,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Gwinn brothers,,
260,Gwinn Aircar Specifications,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Gwinn brothers,,
261,Gwinn brothers description,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Elias Brothers,,Gwinn brothers,,
262,Hamilton Standard Hydromatin Propeller,Photograph,,Curtiss Room,Display,Wall,,Hamilton Standard,,
263,Heinkel He 111H-22 plastic model airplane kit,Model Airplane Kit,,Front Desk,,,1647,Monogram,,
264,Herbert O. Fisher - Chief Test Pilot - Curtiss Wright,Photograph,,Curtiss Room,Hallway,Wall,,Curtiss Wright,,
265,High Flight Poem,Photograph,,Main room,Dispay case,Bottom Right,822,,,
266,History of Bell Aerospace Air cushion vehicles,Display Board,,Main room,Near P-39,Wall,,,,
267,History of Manned Space Flight Poster,Photograph,,Curtiss Room,Main Floor,Wall,,,,
268,History of the Curtiss Company Display,Photo,,Curtiss Room,History of the Curtiss Company,Wall,,Curtiss,,
269,Ira G Ross Hall of Aerospace Technology (wind tunnel),Exhibit,,Curtiss Room,Wall Display,Floo,,,,
270,Ira G Ross Hall of Aerospace Technology wind tunnel model,Model,,Curtiss Room,Display,Floo,,,,
271,Jake Painting dedicated to all 107th members presented by 107th air refueling wing,Painting,,Wall outside ladies room,,Wall,22,,,
272,Jay Demming Bell Test pilot Photograph,Photograph,,Main room,On Display Case,,1832,,,
273,Jay Demming Bell Test pilot Photograph with p-63 Cobra 2 race plane,Photograph,,Main room,On Display Case,,,,,
274,Junkers JU-88S plastic model airplane kit,Model Airplane Kit,,Front Desk,,,1649,Hobby Craft,,
275,Kinner R-55 Engine,Engine,,Fleet & Consolidated Ro,,Floo,,Kinner,,
276,"Lancaster BI/III, Spitfire MkIIa, Hurricane MkIIc plastic model airplane kit",Model Airplane Kit,,Front Desk,,,1654,Airfix,,
277,Larry Bell painting,Painting,,Main room,,Wall,203,,,
278,Larry Bell painting (Bell Helicopter Textron),Painting,,Main room,,Wall,756,,,
279,Larry Bell Photograph,Photograph,,Main room,On Display Case,,1847,,,
280,Larry Bell Photograph as VP of Consolidated,Photograph,,Hallway to Curtiss Room,,Wall,374,,1930,
281,Larry Bell with Cigarette,Photograph,,Main room,,Wall,740,,,
282,Larry Bell's Private Helicopter,Helicoptee,,Main room,,Floo,,,1955,
283,LCAC-1 Hovercraft,Photograph,,Main room,Back of display case,Wall,,,,
284,Liberty Engine Display  board,Display Board,,Curtiss Room,Main Floor,Floo,,,1917,
285,Liberty V-12 Engine,Engine,,Curtiss Room,Main Floor,Floo,,,1917,
286,Lifetime folding chairs,Furniture,,Main room,,Floo,,,,
287,Lindberg and Dirigibles Display,Display Board,,Curtiss Room,,Wall,,,,
288,"Lindberg photographs and a piece of the aircraft covering, 3 medals when he visited buffalo",Photo,,Curtiss Room,,Wall,,,,
289,Link Trainer Flight Simulator,Simulator,,Curtiss Room,Main Floor,Floo,,Link,,
290,LLRV Poster,Poster,,Curtiss Room,Space area,Wall,146,,,
291,Local links to the past poster easel,Poster,,Main room,Near P-39,Floo,,,,
292,Lockheed - Various Aircraft,Photograph,,Main room,Table,G - 1,817,,,
293,Lockheed F - 22,Photograph,,Main room,Table,G - 1,814,,,
294,LORAS System,display case,,Curtiss Room,Display Case,Floo,,,,
295,Lunar lander Flight Simulator,Simulator,,Theater Room,,Floo,,,,
296,Lunar lander prototype photo,Photograph,,Hallway to Curtiss Room,,Wall,488,,,
297,Lunar Module Ascent Engine,Engine,,Curtiss Room,Main Floor,Floo,,Bell,,
298,Lunar Module Model,Model,,Curtiss Room,Main Floor,Floo,,Bell,,
299,Macon Airship Display Board,Display Board,,Fleet & Consolidated Ro,,Floo,,,,
300,Marilyn Monroe Building Radioplane drone,Photograph,,Fleet & Consolidated Ro,,Wall,693,,,
301,Marine Corps Assault Vehicle LVA,Photograph,,Main room,Back of display case,Wall,,,,
302,"Martin, Douglas and Bell",Display Board,,Fleet & Consolidated Ro,,Floo,,,,
303,MASH and the Helicopter Painting (8 panels),Painting,,Main room,,Floo,,,,
304,MASH Stretcher,Art,,Main room,,Floo,,,,
305,McDonnell Douglas F-4 Phantom in vertical flight,Photograph,,Main room,Table,G - 2,475,,,
306,Memory of the Curtiss Wright crash into the plan bronze plaque,Display,,Curtiss Room,Display,Floo,,Curtiss Wright,,
307,Memory of the Curtiss Wright crash into the plan bronze plaque Description,Display,,Curtiss Room,Display,Floo,,Curtiss Wright,,
308,Mercury Capsule drawing,Drawing,,Wall outside ladies room,,Wall,345,,,
309,Minute Man Missile fuel tank cutaway model,Model,,Curtiss Room,Main Floor,Floo,,Bell,,
310,Minute Man Missile launch,Photograph,,Main room,Back of display case,Wall,,,,
311,Mission Control,Photograph,,Curtiss Room,Main Floor,Wall,,,,
312,Model 47 Insect sprayer or crop duster,Helicoptee,,Main room,,Floo,,Bell,1947,
313,Model 47 Insect sprayer or crop duster display board,Display Board,,Main room,,Floo,,,1947,
314,Model of USS Sable Great Lakes Aircraft Carrier,was a passenger ship,,Curtiss Room,Display,Wall,,,,
315,Modern mission of mercy,Poster,,Main room,,Wall,1827,,,
316,Modern War Planes,Poster,,Main room,,,1838,,,
317,Moog Boost and Pitch compensator description poster,Exhibit,,Curtiss Room,Main Floor,Floo,,Moog,,
318,"Moog Boost and Pitch compensator F-22, F-15",Exhibit,,Curtiss Room,Main Floor,Floo,,,,
319,Moog Space Heritage Display Panel,Display Board,,Curtiss Room,Main Floor,Floo,,Moog,,
320,Morris aeroservice biplane model,Model,,Wall on top of Ladies room,,Wall,,,,
321,NASA photograph of a comet,Photograph,,Main room,Back of display case,Wall,,,,
322,Navy's Last Biplane Fighter Grumman FF-1,Photograph,,Main room,Table,G - 1,803,,,
323,NC4 Across the Atlantic,Display Board,,Curtiss Room,Display,Wall,,,,
324,New kind of flyer,Poster,,Main room,,Wall,1828,,,
325,Niagara County Sheriff w/Bell 47B Helicopter,Photograph,,Main room,On Display Case,,1834,,,
326,Niagara Frontier Aviation and Aerospace Hall of Fame floor display,Display Board,,Curtiss Room,Display,Wall,,,,
327,Niagara Frontier Aviation and Aerospace Hall of Fame wall display,Display Board,,Curtiss Room,Display,Wall,,,,
328,NY State Flag,Flag,,Main room,,Floo,,,,
329,NY State: Birthplace of American Jet Powered Aviation,Display Board,,Main room,,Wall,,,,
330,P-39 37 mm cannon display,Display,,Main room,Near P-39,Floo,,,,
331,P-39 Description,Display,,Main room,Near P-39,Floo,,,,
332,P-39 Description of the history of the plane on display,Display,,Main room,Near P-39,Floo,,,,
333,P-39 Ivan Ivanovich Baranovsky,Display,,Main room,Near P-39,Floo,,,,
334,P-39 rear view photo,Photograph,,Hallway to Curtiss Room,,Wall,387,,,
335,P-39 restored airplane (from Russia),Airplane,,Main room,Near P-39,Floo,,Bell,,
336,P-39Q Aracobra display case,display case,,Main room,Near P-39,Floo,,,,
337,P-63 King Cobra display Board,Display Board,,Main room,Near P-39,Floo,,,,
338,P-63 King Cobra display case with artifacts,display case,,Main room,Near P-39,Floo,,,,
339,P-63 model 1:48 scale,Model,,Main room,,Ceiling,,,,
340,P40 mock cockpit,Display,,Theater Room,,Floo,,,,
341,Pair of aces,Painting,,Theater,,Wall,1844,,,
342,Paul Faltyn Plaque (Museum Creator),Plaqu,,Main room,On Display Case,,1835,,,
343,"PBPS Flight #1, Eastern Test Range",Photograph,,Curtiss Room,Main Floor,Wall,765,,,
344,People the world over depend on Bell Helicopters round plaque,Plaqu,,Main room,,Floo,,,,
345,Pettit Model: Curtiss P-40 in plastic display case,Model,,Front Desk,Model Room,L-21,1595,,,
346,Pettit Model: F-14 Tomcat,Model,,Front Desk,Model Room,L-1,1442,,,
347,Pettit Model: Lockheed C-5B Galaxy,Model,,Front Desk,Model Room,L-26,1624,,,
348,Pettit Model: Lockheed F-117,Model,,Front Desk,Model Room,L-12,1534,,,
349,Pettit Model: Lockheed F-16,Model,,Front Desk,Model Room,L-12,1536,,,
350,Pettit Model: Lockheed F-16C,Model,,Front Desk,Model Room,L-12,1535,,,
351,Pettit Model: Lockheed P-38 Lightning,Model,,Front Desk,Model Room,L-26,1625,,,
352,Pettit Model: Lockheed S3A Viking,Model,,Front Desk,Model Room,L-16,1572,,,
353,Pettit Model: SR-71 Blackbird,Model,,Front Desk,Model Room,L-1,1439,,,
354,Pettit Model: unknown propeller plane white Fuerza Aerea Colombiana,Model,,Front Desk,Model Room,L-21,1597,,,
355,Pettit Model: US Army monoplane,Model,,Front Desk,Model Room,L-27,1626,,,
356,Photo of Collier Trophy,Photograph,,Hallway to Curtiss Room,,Wall,1819,,,
357,photograph of a biplane unknown,Photo,,Curtiss Room,,Wall,,,,
358,photograph of Lunar module with Moon in the background,Photograph,,Curtiss Room,Main Floor,Wall,749,,1969,
359,Photograph of the Museum's Model 1 Fleet,Photograph,,Fleet & Consolidated Ro,,Wall,1842,,,
360,Point to Point delivery by the magic carpet ,Poster,,Main room,,Wall,1826,,,
361,Positive Expulsion Tank,Exhibit,,Curtiss Room,Main Floor,Floo,,Bell,,
362,Pratt and Whitney R2000 Radial engine,Engine,,Theater Room,,Floo,,,,
363,Prime Crew for first lunar landing photograph,Photograph,,Curtiss Room,Main Floor,Wall,,,1969,
364,R-1830 Pratt & Whitney Twin Wasp Engine,Engine,,Curtiss Room,Display,Wall,,Pratt & Whitney,,
365,Radioplane OQ14TDE Engine,Engine,,Fleet & Consolidated Ro,,Floo,,,,
366,"RAF 44th Combat Support Crew  Walla Walla, WA",Photograph,,Main room,Table,G - 2,861,,,
367,Ranger L440 Engine,Engine,,Fleet & Consolidated Ro,,Floo,,Ranger,1941,
368,Ranger V770,Engine,,Fleet & Consolidated Ro,,Floo,,Ranger,1940,
369,Reaction control thrusters,Exhibit,,Curtiss Room,Main Floor,Floo,,,,
370,Reserved Floyd Carlson Chief Pilot parking sign,Sign,,Main room,,Wall,1836,,,
371,Reuben Hollis Fleet,Display Board,,Fleet & Consolidated Ro,,Wall,,,1918,
372,Rocket belt display,Display,,Main room,,Floo,,,,
373,Rocket test Technicians and fire brigade,Photograph,,Main room,On side of Display Case,,1848,,,
374,Rockets infographic poster,Photograph,,Curtiss Room,Main Floor,Wall,,,,
375,Rolling Diaphragm Tank,Exhibit,,Curtiss Room,Main Floor,Floo,,Bell,,
376,Rosie the riveter display ,Display,,Main room,Near P-39,Floo,,,,
377,Rosie the Riveter in the Radioplane Factory,Photograph,,Fleet & Consolidated Ro,,Floo,,,,
378,Rosie the Riveter Poster,Poster,,Main room,Near P-39,Floo,1850,,,
379,Rough and Ready early balloon flight panel display,Display Board,,Hallway to Curtiss Room,,Wall,,,,
380,Russian Stomovik LL-10,Photograph,,Main room,,Wall,192,,,
381,Ryan Sprit of St Louis ,Model,,Curtiss Room,,Wall,,,,
382,Saturn blockhouse painting,Painting,,Curtiss Room,Main Floor,Wall,,,,
383,Scott Aviation Display,display case,,Curtiss Room,Display Case,Floo,,,,
384,Skyways - Consolidated Commadore,Photograph,,Fleet & Consolidated Ro,,G - 1,804,,,
385,Skyways Poster of Consolidated Commodore,Poster,,Fleet & Consolidated Ro,,Floo,147,,,
386,Small rocket lift device (rocket belt) photo,Photograph,,Hallway to Curtiss Room,,Wall,348,,,
387,Space Shuttle Orbiter Forward Thermal Windshield,Exhibit,,Curtiss Room,Main Floor,Floo,,,,
388,Speed at sea photo stand,Photograph,,Main room,,Floo,1852,,,
389,sting of the cobra race painting (Bell Airacobra),Painting,,Hallway to Curtiss Room,,Wall,735,,,
390,T33A Ejection Seat,Exhibit,,Curtiss Room,Display,Floo,,,,
391,T33A Ejection Seat Description,Display Board,,Curtiss Room,Display,Floo,,,,
392,the dawn of aviation,Poster,,Main room,,,1839,,,
393,The Helicopter is ready,Poster,,Main room,,Wall,1825,,,
394,The invisible wall: the sound barrier X-1 display,Display,,Main room,,Floo,,,,
395,the magic carpet power by franklin,Poster,,Main room,,Wall,1830,,,
396,Trouble Ahead B-17 Painting,Painting,,Curtiss Room,Main Floor,Wall,,Boeing,1944,
397,TWA Consolidated passenger plane,Painting,,Fleet & Consolidated Ro,,,1843,,,
398,Unknown photograph of Hovercraft coming out of a ship,Photograph,,Main room,Back of display case,Wall,,,,
399,US Flag,Flag,,Main room,,Floo,,,,
400,US Navy Dirigibles,Display Board,,Fleet & Consolidated Ro,,Floo,,,,
401,USAF GAM-63 rocket firing,Photograph,,Hallway to Curtiss Room,,Wall,497,,,
402,VMF-1 Aracuda,Painting,,Theater,,Wall,1845,,,
403,Vought SB2U Vindicator plastic model airplane kit,Model Airplane Kit,,Front Desk,,,1644,HiPM,,
404,w.2/700 jet aero engine by Frank Whittle,Drawing,,Main room,,Floo,,,,
405,War Bird donation bomb,Display,,Main room,Near P-39,Floo,,,,
406,Wendell Moore Rocket Belt inventor ,Display Board,,Curtiss Room,Main Floor,Floo,,,,
407,Western New York Aviation Timeline,Display Board,,Curtiss Room,Display,Wall,,,,
408,William G. Gisel Hall of Fame Plaque,Plaqu,,Main room,Near front window,Wall,,,,
409,Winged victory army air force patches,Poster,,Main room,,Wall,1849,,,
410,WNY liquid rocket engine accessory display frame,Display Board,,Curtiss Room,Main Floor,Wall,,Moog,,
411,Women in the factory poster,Poster,,Main room,Near P-39,Floo,,,,
412,Women then and now,Photograph,,Main room,,Wall,1851,,,
413,Wooden Propeller,Art,,Curtiss Room,Main Floor,Wall,,,,
414,World War I aircraft,Poster,,Main room,,,1837,,,
415,Wright R 1300 engine,Engine,,Theater Room,,Floo,,,,
416,X-1 Postage Stamp,Photograph,,Main room,,MUS,774,,,
417,XP-59A Bronze plaque,Plaqu,,Main room,,Wall,,,,
418,Young and Kelly Sign,Sign,,Main room,On Display Case,,1833,,,
419,Zero Gravity Belt,Exhibit,,Curtiss Room,Main Floor,Floo,,Bell,1965,
420,Zero Gravity Belt Display Board,Display Board,,Curtiss Room,Main Floor,Floo,,,,
512,test,,,,,,1856,,,
513,test,,,,,,1857,,,"or over a decade, museum staff and volunteers have attempted to collect and preserve every relevant artifact they could find. Among the major pieces in the museum’s collection are:

Miss Lend Lease, A Bell P-39 Airacobra that saw combat in the skies over Russia. Thousands of these planes were produced in Western New York for the war effort, a third of which were sent to Russia as a part of the Lend Lease Program.  Click here to see more about this remarkable aircraft.
A 1910 Curtiss Pusher replica, which was flown by Cole Palen, and loaned by the Old Rhinebeck Aerodrome.
The first U.S. commercially licensed helicopter – the Bell Model 47.
Bell Model 47, NC-3H, the only remaining example of the original 11 Model 47s.
A Bell Rocket Belt – Made famous from the James Bond™ movie, “Thunderball.”
A Bell Lunar Ascent Engine, a test version of the engine used to blast the astronauts off the surface of the moon returning them to their Apollo Spacecraft. The engine was designed and built in Western New York.
The actual control panel used by a mission controller during the Apollo moon missions.
A Curtiss JN-4 (Jenny) – the premier World War I trainer aircraft for all the country’s military services. Also, the “Jenny” is famous as “the barn storming aircraft” of its era. The Museum owns this and is restoring to static museum quality.
A Cunningham-Hall GA-36 a 1930’s era revolutionary short take off and landing aircraft.
Our Lunar Module Ascent Engine was critical to returning the Apollo astronauts safely from the Moon.
These are just some examples, on display and in the museum’s collection, providing evidence of the rich past, and continuing record of high technology that has been a part of the industrial landscape of Western New York. The Museum strives to maintain this evidence as a part of the collective consciousness of our area.

In addition to the exhibits in the museum, thousands of historical documents and records have been preserved, cataloged and maintained in the museum’s library. The Museum also has extensive film archives that have been digitized for easy access."
514,venkat,,,,,,1858,,,"Did you check what are top wait events?

Did you check who are the top SQL?

Did you check if tables are partitioned in both environment?

Did you check Explain plan of time consuming SQL (Slow SQL)

Did you check CPU/Mem of both instances (Instance Type)

Did you check if IO/Network Bottleneck is causing this issue (Same as instance type)

Did you check what type of Volume you are using (Provisioned IO or General or Magnetic)

Did you check my.cnf for DB parameters

There are so many things we need to check and i can not comment without looking at those data."
515,retr,,,,,,1859,venkat,2022,
516,s3check,,,,,,1891,,,
517,maintest,Airplane,,Fleet & Consolidated Ro,Back of display case,Bottom Right,1892,,,
518,maintst2,sri,,Vegan,Bottle,winspear,1893,,,
519,test,,,,,,1894,,,"The prototype Bell Model 47, c/n 1 was awarded the world’s first commercial helicopter license, NC-1H, on March 6, 1946. The one pictured here is the fifth Model 47 built and was licensed as NC-3H. Production followed, both civil and military, with totals reaching 416 by the end of 1952. Production of the Model 47 ended in 1973.

Bell Model 47 serial number 5’s initial registration number was NX92842. It became NC-3H and was assigned to the new Bell Helicopter pilot training school. This is the only survivor of the original 11 Bell Model 47s. The helicopter was certified on May 10, 1946 and the first flight was on May 14, 1946. Larry Bell donated the helicopter to the Burgard Vocational High School Aviation Department in Buffalo, New York, to train students to work on helicopters in their aircraft mechanics license course on June 23,1947.

In 1995 and 1996, a team of retired Bell employees working in donated space at Prior Aviation volunteered over 2,000 hours of their time to fully restore this historic aircraft.

The restoration tem members were: Gerald Bainbridge, Jack Bainbridge, Clinton Brockway, Robert L. Brown, John Curran, Nelson Faso, Murray Greenspan, William Kahn (Crew Chief), Richard Clemann, Leonard Nisiak, Donald Ronald, and William Sinon.

This restoration project was supported with funding from the Bell Fund of the Buffalo Foundation. This helicopter is on loan from the Buffalo and Erie County Historical Society.

What is an “N-number”?
“N-numbers” are the identification numbers required to be applied to licensed aircraft in the United States. Other countries have different letters for their identification numbers. NC-3H was registered at a time when there was another letter after the “N” that indicated the aircraft’s airworthiness category, such as “C” for standard, “R” for restricted, “X” for experimental, and later an “L” for limited. (Federal Aviation Administration, 2017) Since 1949, only N-numbers are used, such as N-1234

You can read more about the history of the FAA’s (and its predecessors’) identification numbering requirements here."
520,test,,,,,,1895,,,
524,test9,,,,,,1902,,testing,
534,etest,,,,,,1903,,20s,"The prototype Bell Model 47, c/n 1 was awarded the world’s first commercial helicopter license, NC-1H, on March 6, 1946. The one pictured here is the fifth Model 47 built and was licensed as NC-3H. Production followed, both civil and military, with totals reaching 416 by the end of 1952. Production of the Model 47 ended in 1973.

Bell Model 47 serial number 5’s initial registration number was NX92842. It became NC-3H and was assigned to the new Bell Helicopter pilot training school. This is the only survivor of the original 11 Bell Model 47s. The helicopter was certified on May 10, 1946 and the first flight was on May 14, 1946. Larry Bell donated the helicopter to the Burgard Vocational High School Aviation Department in Buffalo, New York, to train students to work on helicopters in their aircraft mechanics license course on June 23,1947.

In 1995 and 1996, a team of retired Bell employees working in donated space at Prior Aviation volunteered over 2,000 hours of their time to fully restore this historic aircraft.

The restoration tem members were: Gerald Bainbridge, Jack Bainbridge, Clinton Brockway, Robert L. Brown, John Curran, Nelson Faso, Murray Greenspan, William Kahn (Crew Chief), Richard Clemann, Leonard Nisiak, Donald Ronald, and William Sinon.

This restoration project was supported with funding from the Bell Fund of the Buffalo Foundation. This helicopter is on loan from the Buffalo and Erie County Historical Society.

What is an “N-number”?
“N-numbers” are the identification numbers required to be applied to licensed aircraft in the United States. Other countries have different letters for their identification numbers. NC-3H was registered at a time when there was another letter after the “N” that indicated the aircraft’s airworthiness category, such as “C” for standard, “R” for restricted, “X” for experimental, and later an “L” for limited. (Federal Aviation Administration, 2017) Since 1949, only N-numbers are used, such as N-1234

You can read more about the history of the FAA’s (and its predecessors’) identification numbering requirements here."
535,t9,,,Curtiss Room,,Ceiling,1904,,trains,
536,videocheck,,,,,,1905,,,
537,VChk,,,,,,1906,,,
538,tre,,,,,Floo,1907,,,
539,tr,,,,,,1908,,,
540,vcheck,,,,,,1909,,,
541,time,Helicoptee,,Hallway to Curtiss Room,Above entrance,Ceiling,1911,,,
542,new,Exhibit,,Main room,Above entrance,Ceiling,1912,,,
543,test,display case,,Curtiss Room,Display Case,Floo,1913,,,
544,add test,Display Board,,Curtiss Room,Main Floor,Floo,1914,,,
545,truth,,,,,,1919,,,
546,final,Model,,Curtiss Room,,,1920,,,Please save me
547,links test,Airplane,,Main room,,Floo,1921,,,
548,truth,,,,,Ceiling,1922,,,
549,Tester,Display Board,,,near Ladie,Wall,1923,,,"The prototype Bell Model 47, c/n 1 was awarded the world’s first commercial helicopter license, NC-1H, on March 6, 1946. The one pictured here is the fifth Model 47 built and was licensed as NC-3H. Production followed, both civil and military, with totals reaching 416 by the end of 1952. Production of the Model 47 ended in 1973.

Bell Model 47 serial number 5’s initial registration number was NX92842. It became NC-3H and was assigned to the new Bell Helicopter pilot training school. This is the only survivor of the original 11 Bell Model 47s. The helicopter was certified on May 10, 1946 and the first flight was on May 14, 1946. Larry Bell donated the helicopter to the Burgard Vocational High School Aviation Department in Buffalo, New York, to train students to work on helicopters in their aircraft mechanics license course on June 23,1947.

In 1995 and 1996, a team of retired Bell employees working in donated space at Prior Aviation volunteered over 2,000 hours of their time to fully restore this historic aircraft.

The restoration tem members were: Gerald Bainbridge, Jack Bainbridge, Clinton Brockway, Robert L. Brown, John Curran, Nelson Faso, Murray Greenspan, William Kahn (Crew Chief), Richard Clemann, Leonard Nisiak, Donald Ronald, and William Sinon.

This restoration project was supported with funding from the Bell Fund of the Buffalo Foundation. This helicopter is on loan from the Buffalo and Erie County Historical Society.

What is an “N-number”?
“N-numbers” are the identification numbers required to be applied to licensed aircraft in the United States. Other countries have different letters for their identification numbers. NC-3H was registered at a time when there was another letter after the “N” that indicated the aircraft’s airworthiness category, such as “C” for standard, “R” for restricted, “X” for experimental, and later an “L” for limited. (Federal Aviation Administration, 2017) Since 1949, only N-numbers are used, such as N-1234

You can read more about the history of the FAA’s (and its predecessors’) identification numbering requirements here."